repository	accession	title	organism	tissue	platform	raw_available	processed_available	source_query	project_relevance_hint	paper_link_candidate	promotion_ready
arrayexpress	E-MTAB-10195	Circular chromatin conformation capture (4C-seq) experiments for viewpoints on the promoters of Rpgrip1l/Fto, Irx3, Irx5 and Irx6 in mouse hypothalamus				false	false	Protocol for generation of and high-throughput drug testing with patient-derived colorectal cancer organoids	candidate dataset hit		false
arrayexpress	E-MTAB-3453	Transcriptome analysis in the Antarctic bacterium Pseudomonas extremaustralis at low temperatures				false	false	Protocol for generation of and high-throughput drug testing with patient-derived colorectal cancer organoids	candidate dataset hit		false
arrayexpress	E-MTAB-7350	Corynebacterium Cell Factory Design and Culture Process Optimization for Muconic Acid Biosynthesis				false	false	Protocol for generation of and high-throughput drug testing with patient-derived colorectal cancer organoids	candidate dataset hit		false
arrayexpress	E-MTAB-6929	Diet induced obesity is independent of metabolic endotoxemia, Tlr4 signalling and hypothalamic inflammation				false	false	Protocol for generation of and high-throughput drug testing with patient-derived colorectal cancer organoids	candidate dataset hit		false
arrayexpress	E-MTAB-12759	Intermittent childhood hyperlipidaemia alters resident arterial macrophages and accelerates atherosclerosis				false	false	Protocol for generation of and high-throughput drug testing with patient-derived colorectal cancer organoids	candidate dataset hit		false
arrayexpress	E-MTAB-8051	1, 3-Dicaffeoylquinic acid targeting 14-3-3 τ suppresses human breast cancer cell proliferation and metastasis through IL6/JAK2/PI3K pathway				false	false	Protocol for generation of and high-throughput drug testing with patient-derived colorectal cancer organoids	candidate dataset hit		false
arrayexpress	E-MTAB-9772	"Monitor the efficiency of ""WIND: A Workflow for pIRNAs aNd beyonD"" for the identification of single-stranded (SS) spike-in piRNA-like molecules in smallRNA-seq"				false	false	Protocol for generation of and high-throughput drug testing with patient-derived colorectal cancer organoids	candidate dataset hit		false
arrayexpress	E-MTAB-6866	RNA-seq of Arabidopsis thaliana wild-type and a putative chloroplast ribosome biogenesis mutant AtRsgA homozygous knockout				false	false	Protocol for generation of and high-throughput drug testing with patient-derived colorectal cancer organoids	candidate dataset hit		false
arrayexpress	E-MTAB-9392	Role of Macrophage migration inhibitory factor (MIF) in pancreatic stellate cells (PSCs)				false	false	Protocol for generation of and high-throughput drug testing with patient-derived colorectal cancer organoids	candidate dataset hit		false
arrayexpress	E-MTAB-15564	RNA-seq from USP10 and TDP-43 overexpression and TDP-43 knockdown associated with or without USP10 overexpression in HeLa cells				false	false	Protocol for generation of and high-throughput drug testing with patient-derived colorectal cancer organoids	candidate dataset hit		false
arrayexpress	E-MTAB-11104	Single nucleus RNAseq of mouse inguinal white adipose tissue with Rspo2 or GFP AAV injection				false	false	Protocol for generation of and high-throughput drug testing with patient-derived colorectal cancer organoids	candidate dataset hit		false
arrayexpress	E-MTAB-10186	Gene expression analysis of the effect of Irx3 knockout in mouse hypothalamus compared with wild-type (in high-fat diet)				false	false	Protocol for generation of and high-throughput drug testing with patient-derived colorectal cancer organoids	candidate dataset hit		false
arrayexpress	E-MTAB-14267	ATAC-seq of primary human airway smooth muscle cells from 4 donors				false	false	Protocol for generation of and high-throughput drug testing with patient-derived colorectal cancer organoids	candidate dataset hit		false
arrayexpress	E-MTAB-10794	RNA-seq of mouse skeletal muscle samples				false	false	Protocol for generation of and high-throughput drug testing with patient-derived colorectal cancer organoids	candidate dataset hit		false
arrayexpress	E-MTAB-8553	FloChIP TF benchmarking data				false	false	Protocol for generation of and high-throughput drug testing with patient-derived colorectal cancer organoids	candidate dataset hit		false
bigd	CRX1146057	HE_3			RNASeq	false	false	Protocol for generation of and high-throughput drug testing with patient-derived colorectal cancer organoids	candidate dataset hit		false
bigd	CRX911461	CCX202304			RNASeq	false	false	Protocol for generation of and high-throughput drug testing with patient-derived colorectal cancer organoids	candidate dataset hit		false
bigd	CRX658741	2020D20yxhA34_X8_2			RNASeq	false	false	Protocol for generation of and high-throughput drug testing with patient-derived colorectal cancer organoids	candidate dataset hit		false
bigd	CRX1596740	AP			RNASeq	false	false	Protocol for generation of and high-throughput drug testing with patient-derived colorectal cancer organoids	candidate dataset hit		false
bigd	CRX1064720	F2100227			Genome	false	false	Protocol for generation of and high-throughput drug testing with patient-derived colorectal cancer organoids	candidate dataset hit		false
bigd	CRX1064735	F2100242			Genome	false	false	Protocol for generation of and high-throughput drug testing with patient-derived colorectal cancer organoids	candidate dataset hit		false
bigd	CRX1064751	F2100258			Genome	false	false	Protocol for generation of and high-throughput drug testing with patient-derived colorectal cancer organoids	candidate dataset hit		false
bigd	CRX1064755	F2100262			Genome	false	false	Protocol for generation of and high-throughput drug testing with patient-derived colorectal cancer organoids	candidate dataset hit		false
bigd	CRX1064771	F2100278			Genome	false	false	Protocol for generation of and high-throughput drug testing with patient-derived colorectal cancer organoids	candidate dataset hit		false
bigd	CRX1064821	F2100338			Genome	false	false	Protocol for generation of and high-throughput drug testing with patient-derived colorectal cancer organoids	candidate dataset hit		false
bigd	CRX1064823	F2100340			Genome	false	false	Protocol for generation of and high-throughput drug testing with patient-derived colorectal cancer organoids	candidate dataset hit		false
bigd	CRX1064836	F2100356			Genome	false	false	Protocol for generation of and high-throughput drug testing with patient-derived colorectal cancer organoids	candidate dataset hit		false
bigd	CRX1064842	F2100364			Genome	false	false	Protocol for generation of and high-throughput drug testing with patient-derived colorectal cancer organoids	candidate dataset hit		false
bigd	CRX1064860	F2100384			Genome	false	false	Protocol for generation of and high-throughput drug testing with patient-derived colorectal cancer organoids	candidate dataset hit		false
bigd	CRX1064898	F2100424			Genome	false	false	Protocol for generation of and high-throughput drug testing with patient-derived colorectal cancer organoids	candidate dataset hit		false
